ID_Chiesa,Nome_Chiesa,Altri_Nomi,Indicazioni_Ubicazione_Fonte,Status_Attuale,Fonte_Verifica_Parallela,Lat,Long,WIKIDATA
001,S.Adriano,Chiesa di Sant’Adriano al Foro Romano,NA,Demolita,"Wikipedia, Wikidata",NA,NA,Q3672239
002,S.Agata dei Goti,NA,NA,Attiva,"Wikipedia, Wikidata",41.89642605,12.489306094567077,Q1270759
003,S.Agata in Trastevere,NA,Via della Lungaretta,Attiva,"Wikipedia, Wikidata",41.88961635,12.473547321258287,Q3585390
004,S.Agnese,"Basilica di Sant’Agnese Fuori le Mura, Catacomba di Sant’Agnese",Via Nomentana,Attiva,"Wikipedia, Wikidata",41.92290655,12.518914532635467,Q1636696
005,S.Agnese,Chiesa di Sant’Agnese in Agone,Piazza Navona,Attiva,"Wikipedia, Wikidata",41.8987574,12.472555963752665,Q1192577
006,Confraternita degli Agonizzanti,Chiesa della Natività di Gesù,Piazza Pasquino,Attiva,"Wikipedia, Wikidata",41.8980069,12.472053041604415,Q3580184
007,S.Agostino,Basilica di Sant’Agostino in Campo Marzio,Campo Marzio,Attiva,"Wikipedia, Wikidata",41.90093695,12.474271254055555,Q1424095
008,S.Alessio,"Basilica dei Santi Bonifacio e Alessio, Chiesa di Sant’Alessio all’Aventino",Aventino,Attiva,"Wikipedia, Wikidata",41.88379665,12.478703910584175,Q1076439
009,S.Alfonso dei Liguori,"Chiesa di Sant’Alfonso all’Esquilino, Chiesa di Sant’Alfonso Maria de’ Liguori ",Via Merulana,Attiva,"Wikipedia, Wikidata",41.89574265,12.500444205410446,Q655114
010,S.Ambrogio della Massima,NA,Piazza delle Tartarughe,Attiva,"Wikipedia, Wikidata",41.8931422,12.478278379177631,Q2223825
011,S.Anastasia,Basilica di Sant’Anastasia al Palatino,Via S.Teodoro,Attiva,"Wikipedia, Wikidata",41.8880473,12.484287842412588,Q1229125
012,S.Andrea delle Fratte,Santuario della Madonna del Miracolo,Monte Pincio,Attiva,"Wikipedia, Wikidata",41.90363695,12.483845661907418,Q1809794
013,S.Andrea al Ponte Milvio,Sant’Andrea a Ponte Molle,NA,Attiva,"Wikipedia, Wikidata",NA,NA,Q3884777
014,S.Andrea della Via Flaminia,Sant’Andrea del Vignola,Porta del Popolo,Attiva,"Wikipedia, Wikidata",41.921235949999996,12.472158896894253,Q945662
015,S.Andrea del Noviziato dei Gesuiti,Chiesa di Sant’Andrea al Quirinale,Via del Quirinale,Attiva,"Wikipedia, Wikidata",41.9006713,12.489352381422325,Q1354667
016,S.Andrea degli Scozzesi,NA,Via Quattro Fontane,Sconsacrata,"Wikipedia, Wikidata",NA,NA,Q3672478
017,S.Andrea della Valle,NA,Corso Vittorio Emanuele,Attiva,"Wikipedia, Wikidata",41.89598325,12.474332802716628,Q1631593
018,S.Andrea dei Vascellari,Galleria d’arte Sant’Andrea de Scaphis,Via dei Vascellari,Sconsacrata,"Wikipedia, Wikidata",41.888222999999996,12.477682135024157,Q3672480
019,S.Andrea in Vinchi,"S.Andrea in Mentuccia, S.Andrea in Vincis, S.Andrea de Funariis",Via Tor de Specchi,Demolita,"Wikipedia, Wikidata",NA,NA,Q26256703
020,S.Angelo in Borgo,"In Corridore, San Michele Arcangelo ai Corridori di Borgo",Borgo S.Angelo,Demolita,"Wikipedia, Wikidata",NA,NA,Q3672512
021,S.Angelo Custode,Chiesa dei Santi Angeli Custodi al Tritone,NA,Demolita,"Wikipedia, Wikidata",NA,NA,Q3668073
022,S.Angelo in Pescheria,NA,Circo Flaminio,NA,"Wikipedia, Wikidata",41.89264695,12.478705246433659,Q655444
023,S.Aniano,Sant’Aniano dei Ciabattini,Via Bocca della Verità,Demolita,"Wikipedia, Wikidata",NA,NA,Q26256723
024,S.Aniceto,"Palazzo Altemps, Palazzo Riario","Palazzo Altemps, Piazza S.Apollinare",Attiva,"Wikipedia, Wikidata",41.90121775,12.473099153916351,Q1094986
025,S.Anna,Chiesa di Sant’Anna al Laterano,Via Merulana,Attiva,"Wikipedia, Wikidata",41.8907062,12.502289910522244,Q3585392
026,S.Anna dei Calzettari,"Chiesa di Sant’Anna a Ripa, Chiesa di Sant’Anna de Marmorata","Via S.Sabina, Via della Salara",Demolita,"Wikipedia, Wikidata",NA,NA,Q61586105
